galaxy,source_zone,injection_type,noise_level,background_mix,predicted_type,recovered,failure_boundary_score_proxy,rss_RESPONSE_FAMILY_LIKE,rss_HALO_LIKE,rss_RAR_LIKE,rss_NUISANCE_GRADIENT,rss_PATHOLOGY_OUTLIER,rss_MIXED_RESPONSE_HALO,corr_RESPONSE_FAMILY_LIKE,corr_HALO_LIKE,corr_RAR_LIKE,corr_NUISANCE_GRADIENT,corr_PATHOLOGY_OUTLIER,corr_MIXED_RESPONSE_HALO
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,HALO_LIKE,LOW,0.1,HALO_LIKE,True,0.0,0.039378369220747875,0.022293935205017625,0.024987206848726025,0.06393869628464224,0.9983032142007381,0.02533468981096733,0.9801130704052734,0.988790202618828,0.9874273609492873,0.967502611735678,0.04119205990554507,0.9872513915862733
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,HALO_LIKE,MEDIUM,0.25,MIXED_RESPONSE_HALO,False,0.0,0.14630580711626054,0.13810793887295214,0.1416230639584528,0.18170313072557315,0.9990337172474655,0.13667364609440866,0.9239557310194789,0.9283814200677694,0.9264863388315812,0.9045976283820488,0.03108508890987152,0.9291535685265335
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,HALO_LIKE,HIGH,0.4,HALO_LIKE,True,0.0,0.3763024125846734,0.3565314570349236,0.35729315741846734,0.37068944385192726,0.975302969390674,0.36365667701519166,0.7897452674219244,0.8021649100808863,0.8016899915687686,0.7932909656286732,0.1571528892808731,0.7977113030318729
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,RAR_LIKE,LOW,0.1,RAR_LIKE,True,0.0,0.05405045170615955,0.01748570846417213,0.01715819452853882,0.05059840431780169,0.9919687138179856,0.032204879629883484,0.9725993770786824,0.9912185891799187,0.9913837831392349,0.9743724111869129,0.08961744351416426,0.9837657853219519
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,RAR_LIKE,MEDIUM,0.25,HALO_LIKE,False,0.0,0.16230179170701442,0.13766751846178113,0.13792090259164486,0.15435959741525437,0.9956941565908488,0.14609640277853841,0.9152585472384215,0.9286185877626071,0.9284821470595734,0.9195870826543542,0.06561892569336376,0.924069043535959
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,RAR_LIKE,HIGH,0.4,RESPONSE_FAMILY_LIKE,False,0.0,0.38356039855724733,0.43534734819735715,0.44654302241480887,0.5049484152496031,0.9914480056375833,0.4005044291020337,0.7851366769185815,0.7514337308124002,0.7439468916429394,0.7035990227042651,-0.09247699369257623,0.7742709931916385
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,NUISANCE_GRADIENT,LOW,0.1,NUISANCE_GRADIENT,True,0.0,0.11586378343260378,0.05701207179225219,0.05160267830350432,0.03212695703183932,0.9878720347966957,0.08549419994675059,0.9402851783195332,0.9710756552440947,0.9738569308150432,0.9838053887675963,0.11012704119926346,0.9562979661450972
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,NUISANCE_GRADIENT,MEDIUM,0.25,NUISANCE_GRADIENT,True,0.0,0.25913387149082845,0.19091107338198748,0.18328698217009037,0.16223146181136575,0.9855723813706287,0.22611617961915714,0.8607358064523468,0.8994937057133934,0.9037217590773778,0.9152969672126281,0.12011502249665332,0.8797066672367803
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,NUISANCE_GRADIENT,HIGH,0.4,NUISANCE_GRADIENT,True,0.0,0.46597633318052945,0.4307415223523889,0.42623248649356393,0.4117791100486754,0.9977302131320441,0.44775825972385946,0.730769229524253,0.754492198533299,0.7574744309258471,0.7669555984223104,0.04764228025562647,0.7431296927698021
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,PATHOLOGY_OUTLIER,LOW,0.1,PATHOLOGY_OUTLIER,True,0.0,0.9814414001131639,0.944236761543764,0.9376668974761713,0.8991788068132512,0.05625001800618308,0.968498202799494,0.13622995223825113,0.23614241138820485,0.24966598191149092,0.317523531705524,0.9714679521187598,0.17748745645962183
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,PATHOLOGY_OUTLIER,MEDIUM,0.25,PATHOLOGY_OUTLIER,True,0.0,0.9267227330649404,0.8575503716357893,0.8462100547800635,0.7841505626803613,0.30883293138773893,0.9006307224381154,0.2706977409123685,0.3774249970049821,0.3921606115100503,0.46459599365431337,0.8313645822455158,0.31522892881505166
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,PATHOLOGY_OUTLIER,HIGH,0.4,PATHOLOGY_OUTLIER,True,0.0,0.897584218138185,0.8633341577595429,0.8594635333078999,0.8564670469774784,0.7676011385899177,0.8834071165408974,0.32002465820904263,0.36968343517184643,0.3748819370043051,0.37885743099815433,0.4820776508095786,0.3414570008933808
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,MIXED_RESPONSE_HALO,LOW,0.1,RESPONSE_FAMILY_LIKE,False,0.0,0.023341325876296875,0.04838246607239319,0.05758205292395128,0.12586441012662614,0.999819973573114,0.02644827296303475,0.9882604282898834,0.9755088589693109,0.9707821316217397,0.934952185875499,-0.01341739270076271,0.9866872488468499
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,MIXED_RESPONSE_HALO,MEDIUM,0.25,MIXED_RESPONSE_HALO,True,0.0,0.06280243553300364,0.05910638464659033,0.06375702855337173,0.12242110447346057,0.9994738213401235,0.05439524829460775,0.9680896469165425,0.9699967089394734,0.9675964920599022,0.9367918101299452,0.022938584522083062,0.9724221057264134
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,MIXED_RESPONSE_HALO,HIGH,0.4,RESPONSE_FAMILY_LIKE,False,0.0,0.3296510387485222,0.368653030504159,0.3770702175177596,0.42046663056615197,0.9800709352923804,0.3408299310173133,0.8187484114497432,0.7945734512905909,0.7892590084897607,0.7612708909671039,-0.141170339333798,0.8118928925558387
UGC02885,RESPONSE_FAMILY_DOMINANT_ZONE,RESPONSE_FAMILY_LIKE,LOW,0.1,MIXED_RESPONSE_HALO,False,0.0,0.022158872624922034,0.03368607144675413,0.041252771723543746,0.10947060444381933,0.9995848773405839,0.019692923503717652,0.9888584971446007,0.9830126797520193,0.979156386016277,0.9436786505777168,0.020374559122006274,0.9901045785654576
UGC02885,RESPONSE_FAMILY_DOMINANT_ZONE,RESPONSE_FAMILY_LIKE,MEDIUM,0.25,MIXED_RESPONSE_HALO,False,0.0,0.08214929500743154,0.09086433174867942,0.0977093278891505,0.14649051111421463,0.9971570385547508,0.07897005395519827,0.9580452520588829,0.9534860608584274,0.9498898210376032,0.9238557727728853,0.05331942840325041,0.9597030509719149
