proxy,split,threshold,outcome,n_low,n_high,low_rate,high_rate,high_minus_low_rate,abs_rate_difference,permutation_p_two_sided,strong_association_flag
rrf_rc_over_rlast,median,0.3135420143107699,existing_bic_overflex_flag,72,71,0.6666666666666666,0.6901408450704225,0.023474178403755874,0.023474178403755874,0.8441558441558441,False
kernel_curve_corr,median,0.9587852727474336,response_family_zone_flag,72,71,0.5277777777777778,0.5492957746478874,0.02151799687010958,0.02151799687010958,0.8781218781218781,False
rrf_A_over_vouter2,median,0.762686372163753,existing_aicc_overflex_flag,72,71,0.4583333333333333,0.4788732394366197,0.020539906103286376,0.020539906103286376,0.8721278721278721,False
n_points,median,17.0,snrrf_existing_aicc_winner_flag,75,68,0.12,0.10294117647058823,-0.017058823529411765,0.017058823529411765,0.8041958041958042,False
best_n,median,2.25,snrrf_existing_aicc_winner_flag,77,66,0.11688311688311688,0.10606060606060606,-0.010822510822510817,0.010822510822510817,1.0,False
n_points,median,17.0,poly_aicc_high_flex_flag,75,68,0.9066666666666666,0.8970588235294118,-0.009607843137254823,0.009607843137254823,1.0,False
rrf_rc_over_rlast,median,0.3135420143107699,existing_aicc_overflex_flag,72,71,0.4722222222222222,0.4647887323943662,-0.007433489827856021,0.007433489827856021,1.0,False
rrf_A_over_vouter2,median,0.762686372163753,response_family_zone_flag,72,71,0.5416666666666666,0.5352112676056338,-0.006455399061032874,0.006455399061032874,1.0,False
v_outer_kms,median,110.5011312159292,existing_bic_overflex_flag,72,71,0.6805555555555556,0.676056338028169,-0.004499217527386579,0.004499217527386579,1.0,False
gas_fraction_proxy,median,0.0826615559827784,phase5_overflex_winner_flag,72,71,0.8611111111111112,0.8591549295774648,-0.001956181533646406,0.001956181533646406,1.0,False
rrf_A_over_vouter2,median,0.762686372163753,phase5_overflex_winner_flag,72,71,0.8611111111111112,0.8591549295774648,-0.001956181533646406,0.001956181533646406,1.0,False
rrf_rc_over_rlast,median,0.3135420143107699,snrrf_existing_aicc_winner_flag,72,71,0.1111111111111111,0.11267605633802817,0.0015649452269170666,0.0015649452269170666,1.0,False
median_err_fraction,median,0.0442729492729492,snrrf_existing_aicc_winner_flag,72,71,0.1111111111111111,0.11267605633802817,0.0015649452269170666,0.0015649452269170666,1.0,False
rrf_A_over_vouter2,median,0.762686372163753,poly_aicc_high_flex_flag,72,71,0.9027777777777778,0.9014084507042254,-0.0013693270735524177,0.0013693270735524177,1.0,False
